,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,trialType,understand,uniqueid,viewTime
0,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,,debugLMQ0AS:debug0D9K4G,
1,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,,debugLMQ0AS:debug0D9K4G,487.0
2,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,,debugLMQ0AS:debug0D9K4G,1010.0
3,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,,debugLMQ0AS:debug0D9K4G,818.0
4,,,FinishInstructions,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,,debugLMQ0AS:debug0D9K4G,612.0
5,,25.0,,,,,,2016.1441094425593,1188.0,,0.0,,,0.0,,0.0,,gamble,5,,,,1.0,,,debugLMQ0AS:debug0D9K4G,
6,,23.0,,,,,,3866.8095783830045,0.0,,1261.0,,,0.0,,77.0,,success,3,,,,2.0,,,debugLMQ0AS:debug0D9K4G,
7,,35.0,,,,,,6094.868283037542,1162.0,,0.0,,,0.0,,0.0,,gamble,5,,,,3.0,,,debugLMQ0AS:debug0D9K4G,
8,,6.0,,,,,,5987.913379826131,1032.0,,0.0,,,0.0,,0.0,,gamble,6,,,,4.0,,,debugLMQ0AS:debug0D9K4G,
9,,32.0,,,,,,6020.2412150721075,0.0,,1333.0,,,0.0,,252.0,,success,2,,,,5.0,,,debugLMQ0AS:debug0D9K4G,
10,,1.0,,,,,,6040.8021615345915,1289.0,,0.0,,,0.0,,0.0,,gamble,1,,,,6.0,,,debugLMQ0AS:debug0D9K4G,
11,,1.0,,,,,,2013.2610816020438,0.0,,1164.0,,,0.0,,180.0,,success,1,,,,7.0,,,debugLMQ0AS:debug0D9K4G,
12,,3.0,,,,,,0.0,0.0,,0.0,,,0.0,,330.0,,success,3,,,,8.0,,,debugLMQ0AS:debug0D9K4G,
13,,23.0,,,,,,6156.534322218695,0.0,,1320.0,,,0.0,,163.0,,success,3,,,,9.0,,,debugLMQ0AS:debug0D9K4G,
14,,75.0,,,,,,4135.063747774955,0.0,,0.0,,,0.0,,0.0,,fail,5,,,,10.0,,,debugLMQ0AS:debug0D9K4G,
15,,32.0,,,,,,2131.2229075538103,1261.0,,0.0,,,0.0,,0.0,,gamble,2,,,,11.0,,,debugLMQ0AS:debug0D9K4G,
16,,1.0,,,,,,1964.387298835405,0.0,,0.0,,,0.0,,0.0,,fail,1,,,,12.0,,,debugLMQ0AS:debug0D9K4G,
17,,3.0,,,,,,2018.5989151530914,0.0,,0.0,,,0.0,,0.0,,fail,3,,,,13.0,,,debugLMQ0AS:debug0D9K4G,
18,,36.0,,,,,,1911.1816387989209,0.0,,0.0,,,0.0,,0.0,,fail,6,,,,14.0,,,debugLMQ0AS:debug0D9K4G,
19,,5.0,,,,,,2044.644512488948,0.0,,1343.0,,,0.0,,210.0,,success,5,,,,15.0,,,debugLMQ0AS:debug0D9K4G,
20,,21.0,,,,,,3755.22520615918,1374.0,,0.0,,,0.0,,0.0,,gamble,1,,,,16.0,,,debugLMQ0AS:debug0D9K4G,
21,,32.0,,,,,,6024.9871243316975,1096.0,,0.0,,,0.0,,0.0,,gamble,2,,,,17.0,,,debugLMQ0AS:debug0D9K4G,
22,,5.0,,,,,,0.0,0.0,,0.0,,,0.0,,310.0,,success,5,,,,18.0,,,debugLMQ0AS:debug0D9K4G,
23,,,,,,,,,,,,,,,,,postquestionnaire,,,begin,,,,,,debugLMQ0AS:debug0D9K4G,
24,2.0,,,,,,,,,,,,,,,,postquestionnaire,,,submit,,,,,,debugLMQ0AS:debug0D9K4G,
25,,,,,,6,,,,,,,,,,,,,,,,,,,,debugLMQ0AS:debug0D9K4G,
26,,,,,4,,,,,,,,,,,,,,,,,,,,,debugLMQ0AS:debug0D9K4G,
27,,,,,,,,,,,,,,,5,,,,,,,,,,,debugLMQ0AS:debug0D9K4G,
28,,,,1,,,,,,,,,,,,,,,,,,,,,,debugLMQ0AS:debug0D9K4G,
29,,,,,,,,,,3,,,,,,,,,,,,,,,,debugLMQ0AS:debug0D9K4G,
30,,,,,,,,,,,,,5,,,,,,,,,,,,,debugLMQ0AS:debug0D9K4G,
31,,,,,,,,,,,,,,,,,,,,,,,,,9,debugLMQ0AS:debug0D9K4G,
32,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,,A3LL096CAY5WHB:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
33,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,,A3LL096CAY5WHB:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,4021.0
34,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,,A3LL096CAY5WHB:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,9728.0
35,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,,A3LL096CAY5WHB:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,32389.0
36,,,PrevPage,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,,A3LL096CAY5WHB:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,60649.0
37,,,PrevPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,,A3LL096CAY5WHB:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,2111.0
38,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,,A3LL096CAY5WHB:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,1794.0
39,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,,A3LL096CAY5WHB:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,1576.0
40,,,FinishInstructions,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,,A3LL096CAY5WHB:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,126354.0
41,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
42,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,4730.0
43,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,15624.0
44,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,43789.0
45,,,FinishInstructions,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,40429.0
46,,25.0,,,,,,1924.1702523924273,998.0,,0.0,,,0.0,,0.0,,gamble,5,,,,1.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
47,,34.0,,,,,,6016.802366208193,914.0,,0.0,,,0.0,,0.0,,gamble,4,,,,2.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
48,,32.0,,,,,,2087.9602534922296,1402.0,,0.0,,,0.0,,0.0,,gamble,2,,,,3.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
49,,5.0,,,,,,6002.233868848951,904.0,,0.0,,,0.0,,0.0,,gamble,5,,,,4.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
50,,3.0,,,,,,1980.397058889516,1220.0,,0.0,,,0.0,,0.0,,gamble,3,,,,5.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
51,,1.0,,,,,,0.0,0.0,,0.0,,,0.0,,46.0,,success,1,,,,6.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
52,,21.0,,,,,,1853.1145534300315,1401.0,,0.0,,,0.0,,0.0,,gamble,1,,,,7.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
53,,6.0,,,,,,1993.9134555074897,0.0,,0.0,,,0.0,,0.0,,fail,6,,,,8.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
54,,26.0,,,,,,3961.2545986413584,992.0,,0.0,,,0.0,,0.0,,gamble,6,,,,9.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
55,,22.0,,,,,,3856.3357824577765,866.0,,0.0,,,0.0,,0.0,,gamble,2,,,,10.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
56,,25.0,,,,,,6093.566183580871,1037.0,,0.0,,,0.0,,0.0,,gamble,5,,,,11.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
57,,25.0,,,,,,3914.6961668678837,797.0,,0.0,,,0.0,,0.0,,gamble,5,,,,12.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
58,,2.0,,,,,,0.0,0.0,,0.0,,,0.0,,168.0,,success,2,,,,13.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
59,,35.0,,,,,,1896.4540695517364,1131.0,,0.0,,,0.0,,0.0,,gamble,5,,,,14.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
60,,5.0,,,,,,4067.780542378272,846.0,,0.0,,,0.0,,0.0,,gamble,5,,,,15.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
61,,33.0,,,,,,5915.992120383056,903.0,,0.0,,,0.0,,0.0,,gamble,3,,,,16.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
62,,5.0,,,,,,4111.751223385655,767.0,,0.0,,,0.0,,0.0,,gamble,5,,,,17.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
63,,1.0,,,,,,1953.929716840736,833.0,,0.0,,,0.0,,0.0,,gamble,1,,,,18.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
64,,3.0,,,,,,1902.4554830567927,899.0,,0.0,,,0.0,,0.0,,gamble,3,,,,19.0,,,A114JRUBJ5IN7D:37KGEN7NJ3QXF6NXVQFWOJVP6M8PPM,
