,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,understand,uniqueid,viewTime
0,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,debug4SCYZG:debugFKESTJ,
1,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,debug4SCYZG:debugFKESTJ,811
2,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,1281
3,,,PrevPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,3233
4,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,3132
5,,,PrevPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,3955
6,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,2972
7,,,PrevPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,6908
8,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,3973
9,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,10292
10,,,FinishInstructions,,,,,,,,,3,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,debug4SCYZG:debugFKESTJ,21307
11,,26,,,,,,2032.230179,0,,917,,,0,,0,,failOutcome,6,,,,1,,debug4SCYZG:debugFKESTJ,
12,,33,,,,,,6072.15769,795,,0,,,0,,0,,gamble,3,,,,2,,debug4SCYZG:debugFKESTJ,
13,,25,,,,,,5917.101034,0,,0,,,0,,0,,fail,5,,,,3,,debug4SCYZG:debugFKESTJ,
14,,86,,,,,,4162.603824,0,,0,,,0,,0,,fail,6,,,,4,,debug4SCYZG:debugFKESTJ,
15,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,debug4SCYZG:debugFKESTJ,
16,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,debug4SCYZG:debugFKESTJ,880
17,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,1278
18,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,855
19,,,FinishInstructions,,,,,,,,,3,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,debug4SCYZG:debugFKESTJ,676
20,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,debug4SCYZG:debugFKESTJ,
21,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,debug4SCYZG:debugFKESTJ,757
22,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,1340
23,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,818
24,,,FinishInstructions,,,,,,,,,3,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,debug4SCYZG:debugFKESTJ,699
25,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,debug4SCYZG:debugFKESTJ,
26,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,debug4SCYZG:debugFKESTJ,1316
27,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,debug4SCYZG:debugFKESTJ,1313
28,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,debug4SCYZG:debugFKESTJ,718
29,,,FinishInstructions,,,,,,,,,3,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,debug4SCYZG:debugFKESTJ,635
30,,33,,,,,,3896.377243,0,,1232,,,0,,249,,success,3,,,,1,,debug4SCYZG:debugFKESTJ,
31,,2,,,,,,4148.261519,1198,,0,,,0,,0,,gamble,2,,,,2,,debug4SCYZG:debugFKESTJ,
32,,26,,,,,,3982.740459,0,,0,,,0,,0,,earlyFail,6,,,,3,,debug4SCYZG:debugFKESTJ,
33,,5,,,,,,4070.91058,0,,0,,,0,,0,,earlyFail,5,,,,4,,debug4SCYZG:debugFKESTJ,
34,,3,,,,,,1900.007926,0,,0,,,0,,0,,fail,3,,,,5,,debug4SCYZG:debugFKESTJ,
35,,24,,,,,,1856.394411,0,,0,,,0,,0,,fail,4,,,,6,,debug4SCYZG:debugFKESTJ,
36,,3,,,,,,5998.587838,0,,1225,,,0,,153,,success,3,,,,7,,debug4SCYZG:debugFKESTJ,
37,,6,,,,,,5996.116888,551,,0,,,0,,0,,gamble,6,,,,8,,debug4SCYZG:debugFKESTJ,
38,,34,,,,,,6030.882578,0,,511,,,0,,171,,success,4,,,,9,,debug4SCYZG:debugFKESTJ,
39,,3,,,,,,0,0,,0,,,0,,0,,failOutcome,3,,,,10,,debug4SCYZG:debugFKESTJ,
40,,23,,,,,,1975.639873,0,,1366,,,0,,223,,success,3,,,,11,,debug4SCYZG:debugFKESTJ,
41,,1,,,,,,1927.988562,0,,0,,,0,,0,,fail,1,,,,12,,debug4SCYZG:debugFKESTJ,
42,,33,,,,,,6082.19395,0,,1245,,,0,,213,,success,3,,,,13,,debug4SCYZG:debugFKESTJ,
43,,,,,,,,,,,,,,,,,postquestionnaire,,,begin,,,,,debug4SCYZG:debugFKESTJ,
44,4,,,,,,,,,,,,,,,,postquestionnaire,,,submit,,,,,debug4SCYZG:debugFKESTJ,
45,,,,,,5,,,,,,,,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
46,,,,,5,,,,,,,,,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
47,,,,,,,,,,,,,,,5,,,,,,,,,,debug4SCYZG:debugFKESTJ,
48,,,,4,,,,,,,,,,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
49,,,,,,,,,,4,,,,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
50,,,,,,,,,,,,,5,,,,,,,,,,,,debug4SCYZG:debugFKESTJ,
51,,,,,,,,,,,,,,,,,,,,,,,,5,debug4SCYZG:debugFKESTJ,
52,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,A191V7PT3DQKDP:36U2A8VAG1ZQDTII9L675T22C8NYKK,
53,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,A191V7PT3DQKDP:36U2A8VAG1ZQDTII9L675T22C8NYKK,392212
54,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,A191V7PT3DQKDP:36U2A8VAG1ZQDTII9L675T22C8NYKK,55675
55,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,A191V7PT3DQKDP:36U2A8VAG1ZQDTII9L675T22C8NYKK,64015
56,,,FinishInstructions,,,,,,,,,3,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,A191V7PT3DQKDP:36U2A8VAG1ZQDTII9L675T22C8NYKK,94153
57,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
58,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,9743
59,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,25161
60,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,64357
61,,,FinishInstructions,,,,,,,,,3,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,204850
62,,2,,,,,,1948.037816,0,,550,,,0,,276,,success,2,,,,1,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
63,,5,,,,,,6052.886772,0,,695,,,0,,193,,success,5,,,,2,,A1YBZWXXW358IF:382M9COHEHF6AK633YYF4DJKWOYUEI,
