,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,trialType,understand,uniqueid,viewTime
0,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,,debugUQUQVW:debugPG2R6I,
1,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,,debugUQUQVW:debugPG2R6I,1370.0
2,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,,debugUQUQVW:debugPG2R6I,5077.0
3,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,,debugUQUQVW:debugPG2R6I,5560.0
4,,,NextPage,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-4.html,,,,,debugUQUQVW:debugPG2R6I,3464.0
5,,,FinishInstructions,,,,,,,,,4.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,,debugUQUQVW:debugPG2R6I,822.0
6,,9.0,,,,,,1881.704886541537,0.0,,762.0,,,0.0,,73.0,,success,9,,,,1.0,gambleRight,,debugUQUQVW:debugPG2R6I,
7,,39.0,,,,,,0.0,0.0,,0.0,,,0.0,,61.0,,success,9,,,,2.0,gambleRight,,debugUQUQVW:debugPG2R6I,
8,,21.0,,,,,,0.0,0.0,,0.0,,,0.0,,232.0,,success,1,,,,3.0,gambleRight,,debugUQUQVW:debugPG2R6I,
9,,,,,,,,,,,,,,,,,postquestionnaire,,,begin,,,,,,debugUQUQVW:debugPG2R6I,
10,0.0,,,,,,,,,,,,,,,,postquestionnaire,,,submit,,,,,,debugUQUQVW:debugPG2R6I,
11,,,,,,5,,,,,,,,,,,,,,,,,,,,debugUQUQVW:debugPG2R6I,
