,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,trialType,understand,uniqueid,viewTime
0,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,,debugYBOCPJ:debugEKRQ39,
1,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,,debugYBOCPJ:debugEKRQ39,5185
2,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,,debugYBOCPJ:debugEKRQ39,1729
3,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,,debugYBOCPJ:debugEKRQ39,783
4,,,FinishInstructions,,,,,,,,,3,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,,debugYBOCPJ:debugEKRQ39,571
5,,5,,,,,,0,0,,0,,,0,,0,,fail,5,,,,1,,,debugYBOCPJ:debugEKRQ39,
6,,34,,,,,,4079.003423,0,,1103,,,0,,214,,success,4,,,,2,,,debugYBOCPJ:debugEKRQ39,
7,,2,,,,,,0,0,,0,,,0,,158,,success,2,,,,3,,,debugYBOCPJ:debugEKRQ39,
8,,22,,,,,,5721.232054,0,,998,,,0,,136,,success,2,,,,4,,,debugYBOCPJ:debugEKRQ39,
9,,2,,,,,,4027.054289,0,,0,,,0,,0,,gamble,2,,,,5,,,debugYBOCPJ:debugEKRQ39,
10,,36,,,,,,4204.133454,0,,0,,,0,,0,,gamble,6,,,,6,,,debugYBOCPJ:debugEKRQ39,
11,,36,,,,,,3946.087021,1411,,0,,,0,,0,,gamble,6,,,,7,,,debugYBOCPJ:debugEKRQ39,
12,,5,,,,,,2032.021952,0,,0,,,0,,0,,gamble,5,,,,8,,,debugYBOCPJ:debugEKRQ39,
13,,26,,,,,,3940.721362,0,,0,,,0,,208,,success,6,,,,9,,,debugYBOCPJ:debugEKRQ39,
14,,25,,,,,,2078.729006,0,,0,,,0,,0,,gamble,5,,,,10,,,debugYBOCPJ:debugEKRQ39,
15,,4,,,,,,6022.071266,0,,1178,,,0,,362,,success,4,,,,11,,,debugYBOCPJ:debugEKRQ39,
16,,25,,,,,,6081.460693,1109,,0,,,0,,0,,gamble,5,,,,12,,,debugYBOCPJ:debugEKRQ39,
17,,,,,,,,,,,,,,,,,postquestionnaire,,,begin,,,,,,debugYBOCPJ:debugEKRQ39,
18,,,,,,,,,,,,,,,,,postquestionnaire,,,begin,,,,,,debugYBOCPJ:debugEKRQ39,
19,0,,,,,,,,,,,,,,,,postquestionnaire,,,submit,,,,,,debugYBOCPJ:debugEKRQ39,
20,,,,,,6,,,,,,,,,,,,,,,,,,,,debugYBOCPJ:debugEKRQ39,
21,,,,,9,,,,,,,,,,,,,,,,,,,,,debugYBOCPJ:debugEKRQ39,
22,,,,,,,,,,,,,,,8,,,,,,,,,,,debugYBOCPJ:debugEKRQ39,
23,,,,3,,,,,,,,,,,,,,,,,,,,,,debugYBOCPJ:debugEKRQ39,
24,,,,,,,,,,2,,,,,,,,,,,,,,,,debugYBOCPJ:debugEKRQ39,
25,,,,,,,,,,,,,8,,,,,,,,,,,,,debugYBOCPJ:debugEKRQ39,
26,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
27,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,221925
28,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,117348
29,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,421664
30,,,FinishInstructions,,,,,,,,,3,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,166025
31,,33,,,,,,4129.772732,954,,0,,,0,,0,,gamble,3,,,,1,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
32,,33,,,,,,6077.982345,1014,,0,,,0,,0,,gamble,3,,,,2,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
33,,1,,,,,,1846.376996,0,,0,,,0,,85,,success,1,,,,3,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
34,,2,,,,,,6222.615439,0,,0,,,0,,0,,gamble,2,,,,4,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
35,,5,,,,,,2046.026782,0,,0,,,0,,110,,success,5,,,,5,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
36,,32,,,,,,3929.728011,0,,0,,,0,,0,,gamble,2,,,,6,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
37,,25,,,,,,1921.032461,0,,0,,,0,,4,,success,5,,,,7,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
38,,36,,,,,,4093.333456,0,,0,,,0,,0,,earlyFail,6,,,,8,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
39,,21,,,,,,3924.666011,0,,1253,,,0,,24,,success,1,,,,9,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
40,,24,,,,,,2061.520377,0,,0,,,0,,0,,earlyFail,4,,,,10,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
41,,1,,,,,,6036.954063,0,,0,,,0,,44,,success,1,,,,11,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
42,,6,,,,,,1996.496656,0,,0,,,0,,0,,gamble,6,,,,12,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
43,,32,,,,,,2123.351383,0,,0,,,0,,0,,gamble,2,,,,13,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
44,,33,,,,,,2059.694579,0,,1094,,,0,,87,,success,3,,,,14,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
45,,6,,,,,,0,0,,0,,,0,,91,,success,6,,,,15,,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
46,,3,,,,,,4149.476037,0,,0,,,0,,15,,success,3,,,,16,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
47,,23,,,,,,5885.536029,0,,1018,,,0,,66,,success,3,,,,17,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
48,,26,,,,,,3937.144197,0,,1028,,,0,,11,,success,6,,,,18,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
49,,22,,,,,,1968.477386,0,,0,,,0,,0,,gamble,2,,,,19,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
50,,32,,,,,,5992.748523,0,,0,,,0,,0,,gamble,2,,,,20,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
51,,23,,,,,,3970.549533,0,,961,,,0,,0,,earlyFail,3,,,,21,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
52,,1,,,,,,5905.117248,0,,814,,,0,,9,,success,1,,,,22,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
53,,3,,,,,,1979.106421,793,,0,,,0,,0,,gamble,3,,,,23,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
54,,34,,,,,,5959.462144,0,,0,,,0,,0,,earlyFail,4,,,,24,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
55,,24,,,,,,2094.739895,0,,0,,,0,,16,,success,4,,,,25,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
56,,4,,,,,,0,0,,0,,,0,,20,,success,4,,,,26,,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
57,,21,,,,,,4050.109103,0,,0,,,0,,0,,earlyFail,1,,,,27,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
58,,1,,,,,,4071.135764,0,,0,,,0,,56,,success,1,,,,28,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
59,,22,,,,,,4264.148843,0,,0,,,0,,9,,success,2,,,,29,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
60,,5,,,,,,0,0,,0,,,0,,0,,earlyFail,5,,,,30,,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
61,,31,,,,,,1984.022016,0,,0,,,0,,0,,earlyFail,1,,,,31,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
62,,6,,,,,,0,0,,0,,,0,,36,,success,6,,,,32,,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
63,,3,,,,,,0,0,,0,,,0,,19,,success,3,,,,33,,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
64,,23,,,,,,5839.555513,0,,1087,,,0,,15,,success,3,,,,34,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
65,,5,,,,,,1977.959288,0,,0,,,0,,39,,success,5,,,,35,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
66,,2,,,,,,4164.311935,0,,0,,,0,,28,,success,2,,,,36,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
67,,2,,,,,,6184.133727,0,,0,,,0,,84,,success,2,,,,37,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
68,,34,,,,,,5945.971158,0,,0,,,0,,0,,gamble,4,,,,38,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
69,,23,,,,,,2080.250349,0,,0,,,0,,26,,success,3,,,,39,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
70,,24,,,,,,3988.505079,0,,0,,,0,,32,,success,4,,,,40,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
71,,22,,,,,,5924.50813,0,,0,,,0,,0,,earlyFail,2,,,,41,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
72,,6,,,,,,6090.601565,0,,0,,,0,,0,,gamble,6,,,,42,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
73,,5,,,,,,5893.539432,0,,1075,,,0,,27,,success,5,,,,43,ignoreTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
74,,25,,,,,,1934.496959,0,,0,,,0,,0,,earlyFail,5,,,,44,activeTrial,,A11Q8U6QTT8KGF:3R6P78PK7KBPULN59OYTZKIUO0XTGG,
