,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
0,,,Begin,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
1,,,NextPage,,,,,,,,,0,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,14326
2,,,NextPage,,,,,,,,,1,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,48125
3,,,NextPage,,,,,,,,,2,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,48906
4,,,FinishInstructions,,,,,,,,,3,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,109205
5,,31,,,,,,1.99360132,3300,,0,,,,0,,gamble,1,,,,1,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
6,,3,,,,,,3.923672964,3323,,0,,,,0,,gamble,3,,,,2,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
7,,4,,,,,,1.99556317,2679,,0,,,,0,,gamble,4,,,,3,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
8,,1,,,,,,0,0,,0,,,,404,,success,1,,,,4,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
9,,26,,,,,,2.111024048,3230,,0,,,,0,,gamble,6,,,,5,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
10,,6,,,,,,4.05575689,2331,,0,,,,0,,gamble,6,,,,6,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
11,,86,,,,,,6.041414184,0,,5374,,,,339,,success,6,,,,7,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
12,,35,,,,,,6.321963056,2231,,0,,,,0,,gamble,5,,,,8,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
13,,86,,,,,,6.75,0,,2205,,,,356,,success,6,,,,9,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
14,,4,,,,,,6.239519788,2295,,0,,,,0,,gamble,4,,,,10,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
15,,2,,,,,,0,0,,0,,,,345,,success,2,,,,11,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
16,,25,,,,,,6.410697824,3177,,0,,,,0,,gamble,5,,,,12,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
17,,36,,,,,,3.832003333,2034,,0,,,,0,,gamble,6,,,,13,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
18,,26,,,,,,1.971691722,2383,,0,,,,0,,gamble,6,,,,14,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
19,,23,,,,,,6.37766263,3473,,0,,,,0,,gamble,3,,,,15,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
20,,4,,,,,,6.75,1577,,0,,,,0,,gamble,4,,,,16,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
21,,26,,,,,,6.75,1617,,0,,,,0,,gamble,6,,,,17,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
22,,5,,,,,,0,0,,0,,,,432,,success,5,,,,18,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
23,,26,,,,,,4.02830541,2078,,0,,,,0,,gamble,6,,,,19,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
24,,5,,,,,,0,0,,0,,,,374,,success,5,,,,20,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
25,,23,,,,,,3.98344254,1551,,0,,,,0,,gamble,3,,,,21,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
26,,32,,,,,,6.75,1625,,0,,,,0,,gamble,2,,,,22,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
27,,34,,,,,,6.309449031,1864,,0,,,,0,,gamble,4,,,,23,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
28,,1,,,,,,3.94117872,1503,,0,,,,0,,gamble,1,,,,24,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
29,,1,,,,,,3.907201998,1304,,0,,,,0,,gamble,1,,,,25,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
30,,5,,,,,,6.75,1885,,0,,,,0,,gamble,5,,,,26,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
31,,31,,,,,,6.24030888,1433,,0,,,,0,,gamble,1,,,,27,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
32,,35,,,,,,2.120974165,1618,,0,,,,0,,gamble,5,,,,28,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
33,,32,,,,,,3.907553547,1378,,0,,,,0,,gamble,2,,,,29,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
34,,1,,,,,,6.34719576,1497,,0,,,,0,,gamble,1,,,,30,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
35,,32,,,,,,3.932569855,1473,,0,,,,0,,gamble,2,,,,31,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
36,,26,,,,,,6.438376406,1838,,0,,,,0,,gamble,6,,,,32,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
37,,6,,,,,,0,0,,0,,,,412,,success,6,,,,33,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
38,,21,,,,,,6.75,3312,,0,,,,0,,gamble,1,,,,34,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
39,,22,,,,,,2.010603696,1923,,0,,,,0,,gamble,2,,,,35,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
40,,75,,,,,,5.932208024,1803,,0,,,,0,,gamble,5,,,,36,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
41,,2,,,,,,6.75,3282,,0,,,,0,,gamble,2,,,,37,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
42,,24,,,,,,1.918534075,2756,,0,,,,0,,gamble,4,,,,38,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
43,,35,,,,,,6.75,1902,,0,,,,0,,gamble,5,,,,39,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
44,,22,,,,,,6.75,2155,,0,,,,0,,gamble,2,,,,40,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
45,,25,,,,,,4.049816763,2255,,0,,,,0,,gamble,5,,,,41,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
46,,86,,,,,,2.061280668,0,,2642,,,,417,,success,6,,,,42,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
47,,3,,,,,,1.881369058,1864,,0,,,,0,,gamble,3,,,,43,A1XATJA7ENOGWB:3907X2AHF051NZMRTS4KS6NWLXDP2S,
