,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,understand,uniqueid,viewTime
0,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
1,,,NextPage,,,,,,,,,0.0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,12611.0
2,,,NextPage,,,,,,,,,1.0,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,140121.0
3,,,NextPage,,,,,,,,,2.0,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,96790.0
4,,,FinishInstructions,,,,,,,,,3.0,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,36582.0
5,,35.0,,,,,,2030.6825961075558,1216.0,,0.0,,,0.0,,0.0,,gamble,5,,,,1.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
6,,3.0,,,,,,3732.411561447672,0.0,,1267.0,,,0.0,,298.0,,success,3,,,,2.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
7,,6.0,,,,,,5949.501400032586,0.0,,1000.0,,,0.0,,349.0,,success,6,,,,3.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
8,,24.0,,,,,,4006.4089462116012,0.0,,1394.0,,,0.0,,198.0,,success,4,,,,4.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
9,,6.0,,,,,,0.0,0.0,,0.0,,,0.0,,289.0,,success,6,,,,5.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
10,,6.0,,,,,,3928.6795428008268,0.0,,818.0,,,0.0,,282.0,,success,6,,,,6.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
11,,22.0,,,,,,3907.2218367126147,0.0,,936.0,,,0.0,,235.0,,success,2,,,,7.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
12,,32.0,,,,,,4148.476102521509,1071.0,,0.0,,,0.0,,0.0,,gamble,2,,,,8.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
13,,75.0,,,,,,4173.841347379779,0.0,,917.0,,,0.0,,0.0,,failOutcome,5,,,,9.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
14,,31.0,,,,,,6204.133309716946,1086.0,,0.0,,,0.0,,0.0,,gamble,1,,,,10.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
15,,3.0,,,,,,0.0,0.0,,0.0,,,0.0,,368.0,,success,3,,,,11.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
16,,6.0,,,,,,1929.110248900182,0.0,,994.0,,,0.0,,324.0,,success,6,,,,12.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
17,,34.0,,,,,,1968.91022678749,0.0,,991.0,,,0.0,,391.0,,success,4,,,,13.0,,A64JDJKE9DYCT:3RUIQRXJBBOHX0T1B6TIQLDLTWYLLZ,
