"","Amount","ID"
"2",0,"A1L3937MY09J3I:3QECW5O0KH1REOYLSSF2VNR54R65T3"
"3",2,"A1XATJA7ENOGWB:3LPW2N6LKT26E1DASX5C0JD7N5D5UU"
"4",2,"A21992GZ32431E:3KAKFY4PGU2YRVV6KXS52JRCFEZI39"
"5",0,"A18E16UFE351U6:3C8HJ7UOP7UL87SQQJL6YD38BIIMZQ"
"6",2,"A1TARNH07A75CG:30LSNF239UV96DZNGXE0J9MK90ZI2Y"
"7",2,"A1UCB0D27PY623:3UJ1CZ6IZHPQZOL63SACLIVJ28S5SE"
"8",2,"A2UMVPFBDCK5GK:3Y5140Z9DXG5YK0TIVPCFMUDKARPIS"
"9",2,"A2GG7HIO2OIXUR:3C5W7UE9CFQW3CSBP1XL1SNX3IKMXT"
"10",4,"A24W1M0GILRCJ3:3QAVNHZ3EM401H2XEF4SH7XA2SLALB"
"11",4,"ADXHWQLUQBK77:30IQTZXKAK6Z0YL40WAN3VGK0FP0X2"
"12",2,"A27PVIL93ZMY46:3300DTYQT2HEIRZMMPEAUCMVXDCQEH"
"13",4,"A11UBOE8N877JJ:3TXD01ZLD4HOII9AESM2VR7TN9O4UU"
"14",4,"A1USR9JCAMDGM3:39K0FND3AHFK7ZKIER57HKCZ2XBAMD"
"15",4,"AARRC49LFF1O:3LRLIPTPEQ9PHBKFTFSR27KVDSGKAI"
"16",4,"A1CMDCHS6TMIHU:32ZKVD547FNO4NH0EN0OGWNZKPOB34"
"17",2,"AKZD89B2WLSX7:3YJ6NA41JBG1TVKZ0DACRN9DXPGPJ4"
"18",0,"A21Q7FCKM86VL8:3ZGVPD4G6THPL2IAZGMIKRY05RRTZD"
"19",2,"A0017268R9SKD8U2Y3F:3U088ZLJVKTKBYGEQRE11C2DRDH0W7"
"20",2,"A2RVEG53L48BAE:3E13VNJ1NNV2HSHRXTEMEQCFHULI1H"
"21",4,"A14WLAP6TCEKO0:304SM51WA34SO42F421PO4VBC58SBY"
"22",2,"A1UT24L635HEZ6:30JNVC0OR9KQ21QOCQMGFFJ8PU2HQO"
"23",0,"ACN0C9HPYDTED:3OLF68YTN91E1PS1S41UMUSQ5X3FAH"
"24",2,"A1LA6CIGBNDOH9:3Y4W8Q93LZK1VTH3CTX0UH3IEUOVDN"
"25",4,"A1MJFW27HXR76D:35LDD5557A4QJCT4QIIWBYFV7A9KM8"
"26",2,"A120PN22KW0VPY:3CPLWGV3MOZCKYVDYM67Y4QF167N9H"
"28",2,"ATSCVR00ME11A:3FQ5JJ512LOW1UE42JXWOD4VC0JKN8"
"29",4,"A3PPDYVZ2LQZ1E:32N49TQG3GI3XMERSJ6Y4GVCTRRVAL"
"30",4,"AI1MF6MS74XFY:3VBEN272MKZOFLAQKOT3PFM8SIASGP"
"31",4,"A1Y689M29Q274B:3QILPRALQ5VC6TC3TU0TY8V4H0PN8S"
"32",2,"A1IKK576F8WY0N:3X4MXAO0BGO8BS0DK4XGL83005LWRA"
"33",4,"AN098C29EGJ6:3AQF3RZ558IDENGY2RKI6PQ49EDF6R"
"34",2,"A2FGP5K2VWW23G:3VE8AYVF8MX0I1ZMV6HGQ3MVF93F8D"
"35",2,"A3UEJQ4EJB9DBD:32Z9ZLUT1LKNHPD8XDUCQAO8ATKHOG"
"36",4,"A1LOUZD99NZCT2:3E7TUJ2EGCM3YM409SS42ZELN3BD9X"
"37",0,"A64JDJKE9DYCT:3C5W7UE9CFQW3CSBP1XL1SNX3KWMX9"
"38",2,"AYQH26R4KXW2K:31IBVUNM9SZYTDVZ3ZSQIH63Q8CFVS"
"39",4,"A5TMU62U5FE5K:3WSELTNVR32OKUA2NO6J3Y7RW7JTAD"
"40",4,"A3JTQ0H4YY2BLS:3YW4XOSQKQL7QJCRRA30XT0QBRU1UY"
"41",0,"AUOC1RPVQG381:304SM51WA34SO42F421PO4VBC6YSBQ"
"42",4,"AX52PJTN3QQBI:31HQ4X3T3SA41DORVFQJ27RGO0LSLM"
"43",4,"AQ9Y6WD8O72ZC:3X1FV8S5JXR47DRUEJY8026FRNWVGR"
