Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
1,,5084.0219055815,0,409,success,1,1,12
1,,4817.446282265,1338,0,gamble,1,2,12
24,,5043.0338351818,0,390,success,4,3,12
2,,4010.3952564564,0,0,earlyFail,2,4,12
3,,0,0,481,success,3,5,12
21,,5248.8282973413,0,0,fail,1,6,12
3,,5226.1764864057,1799,0,gamble,3,7,12
35,,3037.5778099709,1499,0,gamble,5,8,12
5,,0,0,483,success,5,9,12
33,,1025.3024661796,0,0,earlyFail,3,10,12
3,,1109.5471293479,859,0,gamble,3,11,12
35,,5287.1358765671,1327,0,gamble,5,12,12
2,,0,0,476,success,2,13,12
23,,5257.4274037097,1037,0,gamble,3,14,12
4,,4963.1390238279,1376,0,gamble,4,15,12
3,,733.6197109167,0,357,success,3,16,12
6,,4979.5203055344,1227,0,gamble,6,17,12
23,,4798.0271997053,0,666,success,3,18,12
36,,971.4720255932,1487,0,gamble,6,19,12
1,,5045.0522959808,0,758,success,1,20,12
32,,979.8237538014,1773,0,gamble,2,21,12
26,,4930.3468800523,1560,0,gamble,6,22,12
5,,2937.3157603047,1478,0,gamble,5,23,12
6,,930.3634186033,1313,0,gamble,6,24,12
5,,5321.3752720043,0,0,fail,5,25,12
5,,1040.5432054185,1625,0,gamble,5,26,12
21,,4951.5783675136,0,405,success,1,27,12
5,,0,0,658,success,5,28,12
21,,875.3081811171,0,537,success,1,29,12
6,,4964.0670405984,0,380,success,6,30,12
4,,2933.8936108374,1457,0,gamble,4,31,12
6,,0,0,514,success,6,32,12
32,,5070.2400864401,1261,0,gamble,2,33,12
1,,2925.4986752831,0,374,success,1,34,12
6,,4836.4928681833,950,0,gamble,6,35,12
1,,1025.1573271449,0,397,success,1,36,12
24,,3084.2585324783,1564,0,gamble,4,37,12
2,,4829.1302793985,1102,0,gamble,2,38,12
33,,2992.7337804759,1247,0,gamble,3,39,12
26,,5177.5529213036,0,419,success,6,40,12
6,,3009.0628209298,1156,0,gamble,6,41,12
31,,4968.6556995491,0,410,success,1,42,12
21,,3005.1254068971,0,393,success,1,43,12
34,,5193.0956050294,962,0,gamble,4,44,12
4,,5091.2057120933,842,0,gamble,4,45,12
23,,3015.3971624704,0,399,success,3,46,12
4,,0,0,449,success,4,47,12
23,,4872.5973031459,0,451,success,3,48,12
32,,4791.4761425946,1180,0,gamble,2,49,12
33,,5113.8840969172,1053,0,gamble,3,50,12
21,,4687.9141477734,0,435,success,1,51,12
22,,1007.4946747432,0,421,success,2,52,12
34,,5157.3620668512,1157,0,gamble,4,53,12
4,,0,0,482,success,4,54,12
34,,2973.8653474194,898,0,gamble,4,55,12
5,,4833.0559142995,0,462,success,5,56,12
1,,5023.9007283812,1504,0,gamble,1,57,12
32,,2954.9483297585,1374,0,gamble,2,58,12
4,,2999.2516286592,1550,0,gamble,4,59,12
5,,948.7967583049,1708,0,gamble,5,60,12
25,,4948.2199438566,0,484,success,5,61,12
6,,5146.7012674769,1018,0,gamble,6,62,12
2,,1090.1467810043,0,429,success,2,63,12
5,,5039.6980813052,1383,0,gamble,5,64,12
22,,5432.1855490725,0,423,success,2,65,12
25,,4687.7416475302,0,446,success,5,66,12
1,,0,0,416,success,1,67,12
2,,2932.404802841,0,564,success,2,68,12
36,,5082.8833259191,1164,0,gamble,6,69,12
2,,4983.2550466353,0,448,success,2,70,12
26,,4794.1160120356,0,415,success,6,71,12
3,,2954.1950918644,0,412,success,3,72,12
2,,2942.2043080245,0,479,success,2,73,12
86,,1918.2125947826,0,471,success,6,74,12
31,,4628.7283751111,0,437,success,1,75,12
2,,5135.1801454295,0,403,success,2,76,12
6,,0,0,482,success,6,77,12
31,,5164.2425224351,1112,0,gamble,1,78,12
1,,0,0,410,success,1,79,12
22,,2961.2618059316,0,445,success,2,80,12
22,,4881.5915388641,0,413,success,2,81,12
31,,3199.5636201584,0,510,success,1,82,12
34,,4809.0820438712,1135,0,gamble,4,83,12
33,,5357.4848732044,1550,0,gamble,3,84,12
34,,912.6459221566,0,385,success,4,85,12
4,,4722.9991398472,0,796,success,4,86,12
24,,4764.8243153094,0,436,success,4,87,12
35,,4757.173284833,1089,0,gamble,5,88,12
5,,3156.0300273808,1627,0,gamble,5,89,12
25,,2971.8347197796,0,414,success,5,90,12
2,,979.1496874164,0,459,success,2,91,12
3,,4915.2694161734,0,374,success,3,92,12
22,,4948.757596665,0,455,success,2,93,12
25,,967.2646662848,0,408,success,5,94,12
24,,1003.6237252034,0,699,success,4,95,12
32,,5232.1309165985,1674,0,gamble,2,96,12
35,,1014.7115454988,1258,0,gamble,5,97,12
75,,2046.9791762808,0,396,success,5,98,12
4,,5286.5145730438,0,530,success,4,99,12
26,,3116.5687258666,0,531,success,6,100,12
23,,997.4158697574,0,617,success,3,101,12
4,,922.2388600846,0,664,success,4,102,12
35,,4956.5737461224,1046,0,gamble,5,103,12
31,,872.4467348437,0,408,success,1,104,12
5,,4951.9480076725,1218,0,gamble,5,105,12
25,,5279.763239487,0,453,success,5,106,12
3,,4699.5226083472,0,452,success,3,107,12
36,,4680.4529137035,1267,0,gamble,6,108,12
2,,5067.5213792556,0,729,success,2,109,12
33,,4738.8088041008,0,507,success,3,110,12
3,,4973.2169919007,0,397,success,3,111,12
1,,1039.2717983592,0,537,success,1,112,12
1,,2976.222343467,0,468,success,1,113,12
6,,986.7025286421,1256,0,gamble,6,114,12
2,,0,0,675,success,2,115,12
36,,5381.4851447546,1059,0,gamble,6,116,12
3,,0,0,0,fail,3,117,12
26,,999.7489213639,0,493,success,6,118,12
3,,3005.1579330115,0,604,success,3,119,12
6,,3119.5729673683,1091,0,gamble,6,120,12
24,,5198.2312172352,0,517,success,4,121,12
4,,1085.6363329632,0,776,success,4,122,12
36,1443200,2906.5775431067,1312,0,gamble,6,123,12
35,,3052.2126176429,0,408,success,5,1,13
3,,0,0,510,success,3,2,13
21,,4741.8193412302,0,0,earlyFail,1,3,13
34,,5060.3481214091,0,0,fail,4,4,13
35,,5359.6941212182,0,463,success,5,5,13
