,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,ignoreRT,indexOf,interest,lateResponse,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,trialType,understand,uniqueid,viewTime
0,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,,,debugLMQ0AS:debug0D9K4G,
1,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,,,debugLMQ0AS:debug0D9K4G,487
2,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,,,debugLMQ0AS:debug0D9K4G,1010
3,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,,,debugLMQ0AS:debug0D9K4G,818
4,,,FinishInstructions,,,,,,,,,3,,,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,,,debugLMQ0AS:debug0D9K4G,612
5,,25,,,,,,2016.144109,1188,,0,,,0,,0,,gamble,5,,,,1,,,debugLMQ0AS:debug0D9K4G,
6,,23,,,,,,3866.809578,0,,1261,,,0,,77,,success,3,,,,2,,,debugLMQ0AS:debug0D9K4G,
7,,35,,,,,,6094.868283,1162,,0,,,0,,0,,gamble,5,,,,3,,,debugLMQ0AS:debug0D9K4G,
8,,6,,,,,,5987.91338,1032,,0,,,0,,0,,gamble,6,,,,4,,,debugLMQ0AS:debug0D9K4G,
9,,32,,,,,,6020.241215,0,,1333,,,0,,252,,success,2,,,,5,,,debugLMQ0AS:debug0D9K4G,
10,,1,,,,,,6040.802162,1289,,0,,,0,,0,,gamble,1,,,,6,,,debugLMQ0AS:debug0D9K4G,
11,,1,,,,,,2013.261082,0,,1164,,,0,,180,,success,1,,,,7,,,debugLMQ0AS:debug0D9K4G,
12,,3,,,,,,0,0,,0,,,0,,330,,success,3,,,,8,,,debugLMQ0AS:debug0D9K4G,
13,,23,,,,,,6156.534322,0,,1320,,,0,,163,,success,3,,,,9,,,debugLMQ0AS:debug0D9K4G,
14,,75,,,,,,4135.063748,0,,0,,,0,,0,,fail,5,,,,10,,,debugLMQ0AS:debug0D9K4G,
15,,32,,,,,,2131.222908,1261,,0,,,0,,0,,gamble,2,,,,11,,,debugLMQ0AS:debug0D9K4G,
16,,1,,,,,,1964.387299,0,,0,,,0,,0,,fail,1,,,,12,,,debugLMQ0AS:debug0D9K4G,
