Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
36,,5955.928341,0,382,success,6,1,240
33,,929.4061272,726,0,gamble,3,2,240
31,,3114.216904,468,0,gamble,1,3,240
34,,5826.033183,723,0,gamble,4,4,240
5,,3061.339858,919,0,gamble,5,5,240
3,,1081.950688,779,0,gamble,3,6,240
25,,5012.658522,570,0,gamble,5,7,240
32,,988.9481252,689,0,gamble,2,8,240
6,,5978.11961,591,0,gamble,6,9,240
34,,2959.919608,575,0,gamble,4,10,240
2,,0,0,438,success,2,11,240
22,,5964.493269,650,0,gamble,2,12,240
3,,5889.805054,677,0,gamble,3,13,240
6,,0,0,324,success,6,14,240
36,,1145.309244,711,0,gamble,6,15,240
36,,6336.832511,582,0,gamble,6,16,240
23,,929.5639961,781,0,gamble,3,17,240
32,,2775.39139,671,0,gamble,2,18,240
25,,1003.671718,0,0,earlyFail,5,19,240
2,,4065.373028,596,0,gamble,2,20,240
35,,5760.728365,619,0,gamble,5,21,240
2,,6277.818929,425,0,gamble,2,22,240
31,,6232.420799,589,0,gamble,1,23,240
26,,1000.119009,887,0,gamble,6,24,240
21,,6253.673709,633,0,gamble,1,25,240
24,,2896.269638,657,0,gamble,4,26,240
34,,6202.36617,580,0,gamble,4,27,240
24,,1097.590015,587,0,gamble,4,28,240
4,,5740.730895,619,0,gamble,4,29,240
21,,5871.583385,662,0,gamble,1,30,240
4,,988.1900631,746,0,gamble,4,31,240
5,,6130.829136,603,0,gamble,5,32,240
3,,2987.119129,627,0,gamble,3,33,240
6,,919.2969528,719,0,gamble,6,34,240
2,,829.6059197,883,0,gamble,2,35,240
4,,5979.77844,620,0,gamble,4,36,240
36,,5692.822394,641,0,gamble,6,37,240
33,,3011.167331,624,0,gamble,3,38,240
25,,2951.087872,644,0,gamble,5,39,240
5,,0,0,385,success,5,40,240
75,,1934.684342,0,453,success,5,41,240
34,,845.0817146,0,0,earlyFail,4,42,240
36,,3050.669476,597,0,gamble,6,43,240
31,,1045.151373,736,0,gamble,1,44,240
22,,868.996289,712,0,gamble,2,45,240
4,,6394.632327,580,0,gamble,4,46,240
4,,2977.529307,429,0,gamble,4,47,240
26,,2973.151009,624,0,gamble,6,48,240
26,,5002.175381,718,0,gamble,6,49,240
35,,951.3802047,0,0,earlyFail,5,50,240
1,,6215.891156,622,0,gamble,1,51,240
23,,3026.828208,675,0,gamble,3,52,240
2,,5880.341619,516,0,gamble,2,53,240
1,,6205.629434,608,0,gamble,1,54,240
32,,5121.162224,573,0,gamble,2,55,240
22,,6185.75943,627,0,gamble,2,56,240
31,,4803.301194,537,0,gamble,1,57,240
5,,6256.661902,565,0,gamble,5,58,240
24,,6237.064944,551,0,gamble,4,59,240
6,,2974.32267,593,0,gamble,6,60,240
1,,5849.127385,660,0,gamble,1,61,240
1,,2955.019765,0,0,earlyFail,1,62,240
23,,6045.456439,578,0,gamble,3,63,240
3,,6219.184856,580,0,gamble,3,64,240
21,,5979.813217,553,0,gamble,1,65,240
5,,866.1072979,0,0,earlyFail,5,66,240
6,,6107.894074,562,0,gamble,6,67,240
32,,4879.113462,639,0,gamble,2,68,240
1,,1154.728438,957,0,gamble,1,69,240
5,,5728.082232,439,0,gamble,5,70,240
32,,4763.594172,627,0,gamble,2,71,240
22,,5580.962969,623,0,gamble,2,72,240
26,,6378.04001,587,0,gamble,6,73,240
24,,5965.31958,568,0,gamble,4,74,240
2,,5712.328289,453,0,gamble,2,75,240
35,,6121.758565,549,0,gamble,5,76,240
6,,5841.825697,613,0,gamble,6,77,240
35,,6146.344431,586,0,gamble,5,78,240
34,,5573.249442,666,0,gamble,4,79,240
1,,0,0,108,success,1,80,240
22,,3002.426119,665,0,gamble,2,81,240
33,,5423.888731,575,0,gamble,3,82,240
21,,2983.20413,747,0,gamble,1,83,240
25,,6037.049546,587,0,gamble,5,84,240
31,,4977.159231,658,0,gamble,1,85,240
21,,1033.696734,0,0,earlyFail,1,86,240
86,,1970.714763,770,0,gamble,6,87,240
23,,5745.99166,592,0,gamble,3,88,240
35,,2920.716055,720,0,gamble,5,89,240
3,,5786.983538,601,0,gamble,3,90,240
3,,0,0,437,success,3,91,240
23,,6218.130651,708,0,gamble,3,92,240
33,,5047.628528,607,0,gamble,3,93,240
4,,0,0,236,success,4,94,240
2,,2985.544812,548,0,gamble,2,95,240
33,,4562.754873,515,0,gamble,3,96,240
25,,4640.620191,598,0,gamble,5,97,240
26,,4769.630351,651,0,gamble,6,98,240
24,1447118,5756.448938,627,0,gamble,4,99,240
31,,4839.877407,0,426,success,1,1,241
33,,3083.058542,0,442,success,3,2,241
35,,1056.515079,0,442,success,5,3,241
75,,2029.691178,0,376,success,5,4,241
22,,6222.14333,0,535,success,2,5,241
3,,0,0,465,success,3,6,241
35,,5970.76386,0,0,fail,5,7,241
4,,6067.90768,0,554,success,4,8,241
5,,5715.023937,0,390,success,5,9,241
25,,4643.535145,0,396,success,5,10,241
23,,5888.810353,0,391,success,3,11,241
25,,851.0220961,0,390,success,5,12,241
26,,4921.675888,0,344,success,6,13,241
31,,6141.407529,0,444,success,1,14,241
23,,6186.155839,0,504,success,3,15,241
5,,3066.92042,0,421,success,5,16,241
6,,974.5565398,0,378,success,6,17,241
21,,5652.916924,0,437,success,1,18,241
2,,3852.874046,0,362,success,2,19,241
34,,2983.760557,0,454,success,4,20,241
