"","Amount","ID"
"2",0,"A2P53AN2M8IWFP:3FTF2T8WLRI27S4RQNXUUN36QD7W9Z"
"3",0,"A11DLGQTOOSIWR:32Z9ZLUT1LKNHPD8XDUCQAO86OGOH5"
"4",2,"ALSPLE0B3FHKO:34S9DKFK73PRLZ3L6YYNXLJ66AOYNZ"
"5",2,"A2W8TJXW68442D:3TMFV4NEP8E2TNLHLVRGUR8V67PW8A"
"6",2,"A2XUADP5L61HQ5:3BDCF01OGXU1XZ00ULI8KTFH1FOLYK"
"7",4,"A2IGPW784OFV3D:3X31TUMD7XM47TPXIWBZ6647UUG1L3"
"8",2,"A2M3KQ9CKP7YW:39GHHAVOMFRF42YG2TIOOPYI2PKJ4V"
"9",2,"A29V2XPA9H2NAN:37UEWGM5HT8FARKANG8VSID60M4R1I"
"10",0,"AL2HCY1DKHEWT:3GFK2QRXX9HJ652FNXKDI7Y44HOW58"
"11",0,"A1FZUX5NRB7JSK:3YZ8UPK3VTMRDMMP77SKEPJHBIZUCF"
"12",2,"A1ON7063MX4B6:3VNL7UK1XFJJGLRAY4SBHZIIPHKTFY"
"13",0,"A3774HPOUKYTX7:3NC5L260MOM33TM22N6CNPCVQ93OF7"
"14",4,"ACBRGVP555FVA:3H7Z272LX777OL8Z3YMP72M5XALLPQ"
"15",0,"A329SGR2OLBRQJ:33OOO72IVHLCD970722A9TXFS4STCN"
"16",0,"A1A7XGY2FZH78C:3TYCR1GOTCJ12PA5Q7KRY0OJ79SLZB"
"17",2,"A2LF84L3K71GR2:3XC1O3LBOSM5GD16KFV9CCN2MD6LTV"
"18",2,"A3EYWJCIO1MG9W:3F6HPJW4JD0R78JS5EIFK0VSK7XW27"
"19",2,"A28P6WY5WP7F9Y:3TE3O857308MZC266K89X1NBSSIR2Z"
"20",2,"AR1IWBDA7MC86:3WJEQKOXA82NBAYTL5M9XSOW0IH1AL"
"22",2,"A1SLJKNSNHOJRN:3DZQRBDBSLFNL9Y2P9MJ6LXZK84S32"
"23",0,"A2R8IV2PWFTY00:337RC3OW052KT55VPAVODUBNJYMLVB"
"24",4,"A2PPGKY9LRYIQA:31QTRG6Q2TDROKFYMDBF1AO16PPYPV"
"25",4,"A3U761PEG7MFKT:3EF8EXOTT1VYC31XFBZMQRRFQ5B1J1"
"26",2,"AQASMOUOHNHB5:3LRLIPTPEQ9PHBKFTFSR27KV9ONKAD"
"27",0,"AT7B9V1M5EBD9:3DR23U6WE5ERA7RE3T85ZHXIDG5TEG"
"29",0,"A3POD149IG0DIW:32VNZTT0A74W2QHTAYRXQGK9C6GR4X"
"31",2,"A1TUOW9THKG6PQ:3V5Q80FXIXRUGAH4VU7DF3KVME832D"
"32",2,"ARVU7VYF2489E:3JV9LGBJWTE9HTIXD7CU5AC7RO3OG6"
"33",0,"A2PMGM9ZEU7TLU:3GA6AFUKOOOYV0KMEFAK27QXBXNH36"
"34",0,"A10JXOU89D5RXR:324G5B4FB385LJFDIJ6P9W3WUJG70A"
"35",0,"AVWZY5MZ7EW5R:3CP1TO84PT1XUP489DV6U0IF0B552D"
"36",4,"A1GKD3NG1NNHRP:37M28K1J0QDU6REXBUSF1SKIUZGJA6"
"37",4,"A1EJ2FLWFL6GHI:3DBQWDE4Y6YTJBT1VWTQMOLDB6XN5N"
"38",0,"A1RDRK3QTM7U96:3MTMREQS4VIGCBEWITBUQIEQWVPWAE"
"39",0,"A1UG1JLT123K32:3S96KQ6I9M4MI1DE7YXLTZFXD44TDN"
"40",4,"A2UYZFH5VT5R3H:3DY4FPOOA1OVW308UUSKZ6KMPQBVRB"
"41",0,"A3NMU6AVMQ0QDB:3WAKVUDHUWGL15RTGQK9Y3R3A78U7M"
"42",2,"A1QIJ94TJ6FZ2W:384PI804XS1R4HZ56M404NZSHXT0SQ"
"43",2,"A2ZJP5U5MCG3A4:3SPJ0334213V29C0R06V4E2PXQJYJV"
"44",0,"A329PO0YNVW16V:3TMSXRD2X60KIN1WMAI1FHLNS1JW1Q"
"45",4,"A2AU2E2E9A0I1:3X08E93BHVIHVUNN1YHECJDRCBU66N"
"46",0,"A1DZMZTXWOM9MR:3RWE2M8QWHAUO470YQNE5TPMUYUN0A"
"47",2,"A2NWE1P2HMDELQ:3N8OEVH1FRQX96ZV1QP2AJL9IBJOOK"
"48",4,"A1PEUJ23G02GUZ:3VHHR074H3HIIF4Z7CS87GVKXH27LU"
"49",0,"AJ5E1H50AG16N:3HYA4D452RJPWMXXFP8FGC9SP5YF2L"
"51",4,"A1L92Y6VBTRFP5:39GHHAVOMFRF42YG2TIOOPYI2QDJ4Q"
"52",2,"A1ZTSCPETU3UJW:36ZN444YTRYNDKOS3VCXQMPN622OI7"
"53",2,"AYQH26R4KXW2K:3FPRZHYEPY73D1F6J4ROH8H6JE73VV"
"54",4,"AZMUTFN2BAL29:3YOH7BII09799ZND4AJNYUY8U0VVK0"
"55",4,"A1ZW1XG414XPNK:3VP0C6EFSGWJKX8FOEOV1FAD2C1M67"
"56",2,"A2LC2DS8OH7NCA:32ZKVD547FNO4NH0EN0OGWNZGMZB35"
"57",0,"A2FEDIH6ZKPZ6W:3Z4XG4ZF48RHINQ7V0N2WAM2FBL8X9"
