"","Amount","ID"
"2",1,"A2IRBZJJEB9P5E:3FE7TXL1LINMNBN6T5J9SBD69EZ2QL"
"3",1,"AD1PP40BCLSD2:3SLE99ER0NDPPGOTZUVXKXSE8NWBZP"
"4",1,"A3CSUQJ3WF1BKP:3Z4AIRP3C6DZ7N6MWFENH0ZUEB71XZ"
"5",1,"A22ABLVEI5EGPL:32KTQ2V7RDF62GADMLR7LP1F5JNM9L"
"6",1,"A7P3R1AIA4TVV:320DUZ38G7MVGIR0XUKPXEVL52BGJQ"
"7",1,"A1NTZ2XCWWT6E5:3NGI5ARFTT5UYE4VAO46NNDRCDU1P9"
"8",1,"A1L92Y6VBTRFP5:36AHBNMV1RCIZNC8H4KK1G7C5F0DY5"
"9",1,"AIK9IRPT4M848:3P4MQ7TPPXCT7ILDTGFUYFLBHL6BBH"
"10",1,"A2MFMT03E21ZIT:3Z4GS9HPNVAJ3UFX3IRYOBDJF5O775"
"11",0,"A12MVC9R26VPZ4:3UJ1CZ6IZHPQZOL63SACLIVJBD6S5Y"
"12",2,"A3UN1F1EOHKKE6:3DI28L7YXAEQ1NF51AOVTBENY6SE11"
"13",0,"A3J55BJGV95JKH:39GHHAVOMFRF42YG2TIOOPYIFYY4JP"
"14",1,"A1V595KBP0VLEO:3RGU30DZTA8V8SNM8XIKAJFI1PJJMZ"
"15",1,"A1PP6DN7HB6Q9P:3TMSXRD2X60KIN1WMAI1FHLN5AX1W4"
"16",0,"A188SHJZPHE8BA:3BEFOD78W6T55A415QVG4HQZJST4MT"
"17",1,"A1J50BL5JH2DBE:3QECW5O0KH1REOYLSSF2VNR5DWL5T1"
"18",1,"A9ZCY6FLUCIU1:3TVSS0C0E10LR7D5OT2BLN4IXTNTW4"
"19",1,"A2UTDZAZV1DF0N:3EJPLAJKEMGJJ47Y33EP9H6MUNH6ZX"
"20",0,"A1DZMZTXWOM9MR:3PMBY0YE273TTUYM9WXTITW3B639CC"
"21",1,"A5P3Y48D9GAY9:3L4PIM1GQTGC0XVDZ5F465OGKGQYRV"
"22",1,"A1JWKT0IS06YKL:37Q970SNZE8RB6KN2580ISI2ZX11SP"
"23",0,"A2C73Y1COWCA51:3WT783CTPBHCHNDJ7GBP9ZRTZ66BCO"
"24",1,"A2196WCNDZULFS:3EO896NRAWVZLND6HUJWWXAAVXETJ9"
"25",1,"A1CTUG0RUGCY48:3Y54SXRO1LL8Z3O0TTNA3ZJLCDCTU5"
"26",1,"A5V3P23WEJLOV:3NL0RFNU0FNAFM4YKEI0P4YVUNY4KO"
"28",1,"A3CXK1KSRGU27V:3Z3ZLGNNSIUB8TJPX5XEBLIYFTVQ3I"
"29",1,"A1PT6264PIYFCI:3ZSANO2JCF7I1LEV94NL7UMW07LSFI"
"30",2,"A2ZJAEL03VTZ8:323Q6SJS8IGTBC0FYABM3GFURW3FHJ"
"32",1,"AZBCWU5J99B2C:3RSDURM96AMNRTQ8DZV47YPX5R3EY1"
"33",1,"A36IYIE23IO4HE:3NQL1CS15R84T4CU8PKE72DJ5M3YVO"
"34",2,"A3GWRDHAURRNK6:38JBBYETQOA7TMCOOS7XR9LQAQ24E4"
"35",1,"A25VE425L75JHI:3JJVG1YBEBXRI244S6OHVTLJ7PKB5G"
"36",1,"A2WQKPQT9DHBJK:3EG49X351UCUE97J2LQ4CWQBMNJ6X0"
"37",1,"A2D7V4E7TCYOZF:3ZGVPD4G6THPL2IAZGMIKRY0EVRTZU"
"38",1,"A298GPAEHRSV9J:34YB12FSQYOLHQXL0RXHD6N29X7GMX"
"39",1,"A3JGVZEXXELM3C:3NC5L260MOM33TM22N6CNPCV3IMOFL"
"40",1,"A1G42P7S1ROOD2:3NAPMVF0ZWFCHTIRX6A3SKWB4P272P"
"41",1,"A3OGH0HZMJPS9W:33LKR6A5KEKSQ6X2R5DQSXEO1GF1TE"
"42",1,"A1GCTKOPKUTW3G:3EG49X351UCUE97J2LQ4CWQBMNJ6X0"
"43",1,"A394B1YXZ1G9SI:3U8YCDAGXPGFR1KSEIFV9NKRCHIQ0U"
"44",1,"A1WISFBL3J5Z12:3R9WASFE2ZGF2X094WHT3NJZNMSFZH"
"45",1,"A1HF64TV3AAOK6:3MRNMEIQW56YZO59YPVU785GW04LDT"
"46",1,"AYW56U585XL71:3JJVG1YBEBXRI244S6OHVTLJ7PKB5G"
"47",1,"A3774HPOUKYTX7:3O7L7BFSHEP11TB39H91LAV9F8BEI1"
"48",1,"A38DHLB88V8DL8:34PGFRQONOBRD4H0CZO7JHH9ZRWWJ2"
"49",1,"APY5858P6BTDY:3DBQWDE4Y6YTJBT1VWTQMOLDOE65N7"
"50",1,"ADHW61ORUKPHW:31Q0U3WYDPF5S80VE2APN1M6CJO718"
"51",1,"A2SAE8KJY4HF8Y:3M0NZ3JDP1YN007KYK4KHBSMYS7Z5B"
"52",1,"A293CEKS4HJAWT:3JAOYWH7VI4MWYSSM9QSLCMQ5FPL9C"
"53",1,"A1F46RJTOXQM4J:30IQTZXKAK6Z0YL40WAN3VGK9K2X0V"
"54",1,"A27NBGO9FXJS8Q:3L70J4KAZGMH35E51Y64YUP52OADA8"
"55",1,"A2X2I8R0UJZB7W:3CTOC39K37QCNPGZ4RGVR1IS602J72"
"56",1,"A2DHLRV1OE925A:3RANCT1ZVFH83HUJT7WP35DZ66UUBY"
"57",1,"A29VPSFOR6OO5H:3TUI152ZZBNFYQ5AA1JVNS31H9G1Q0"
"58",2,"A9WIOFVRSYW3L:3Z3ZLGNNSIUB8TJPX5XEBLIYFTA3QA"
"59",1,"A10XW6SNPNQX16:33CID57104T0HW3C50PIUZJ45NNL33"
"61",1,"A2Z70GL7HTFFQR:3LOTDFNYA7ZB82V4T9XM4JPH6KQWFA"
"62",1,"ASZSPKARH2RXY:3G0WWMR1UVKICXCZFOHTKZG4KA5NQE"
"63",0,"A1CUDX7TTS2W61:3GS6S824SQXNWU8LRXGZCOYQ8BSWNX"
"64",1,"A38F8U7SZ7CE1Y:3ZDAD0O1T1D0G7IVYYYXN6IP6VGTXK"
"71",1,"AV5FCKI1TTSKR:31N2WW6R9RQEH4TGJPMKZMEK8R7F3Y"
"72",1,"A2G7DTL156PTKA:3XM0HYN6NKZTIFY7MCZLU7WL1N3EPC"
