,BonusAmount,Trialid,action,comments,design,difficulty,engagement,expTime,gambleDelay,gambleRT,gender,indexOf,interest,length,outcomeRT,pbGamble,phase,recordedPresses,recordedTimes,response,standardGamble,status,switchTimes,template,templates,trialNumber,understand,uniqueid,viewTime
0,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugGQCNUV:debugNPDFZD,
1,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugGQCNUV:debugNPDFZD,428
2,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugGQCNUV:debugNPDFZD,1430
3,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugGQCNUV:debugNPDFZD,1630
4,,,NextPage,,,,,,,,,3,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-4.html,,,,debugGQCNUV:debugNPDFZD,3310
5,,,FinishInstructions,,,,,,,,,4,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-ready.html,,,,debugGQCNUV:debugNPDFZD,847
6,,,,,,,,,,,,,,,,,postquestionnaire,,,,,begin,,,,,,debugGQCNUV:debugNPDFZD,
7,1,,,,,,,,,,,,,,,,postquestionnaire,,,,,submit,,,,,,debugGQCNUV:debugNPDFZD,
8,,,,This was terrible.,,,,,,,,,,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
9,,,,,,,5,,,,,,,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
10,,,,,,5,,,,,,,,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
11,,,,,,,,,,,,,,5,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
12,,,,,4,,,,,,,,,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
13,,,,,,,,,,,4,,,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
14,,,,,,,,,,,,,5,,,,,,,,,,,,,,,debugGQCNUV:debugNPDFZD,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,5,debugGQCNUV:debugNPDFZD,
16,,,Begin,,,,,,,,,,,,,,INSTRUCTIONS,,,,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-4.html', u'instructions/instruct-ready.html']",,,debugVOY27V:debugHRG57Q,
17,,,NextPage,,,,,,,,,0,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-1.html,,,,debugVOY27V:debugHRG57Q,563
18,,,NextPage,,,,,,,,,1,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-2.html,,,,debugVOY27V:debugHRG57Q,18165
19,,,NextPage,,,,,,,,,2,,,,,INSTRUCTIONS,,,,,,,instructions/instruct-3.html,,,,debugVOY27V:debugHRG57Q,6934
