Trialid,expTime,gambleDelay,gambleRT,outcomeRT,response,standardGamble,trialNumber,uniqueid
3,,2940.181634,0,202,success,3,1,201
6,,5600,0,112,success,6,2,201
6,,3012.954901,0,88,success,6,3,201
33,,4907.237797,0,71,success,3,4,201
26,,4665.747104,0,63,success,6,5,201
31,,4852.638307,541,0,gamble,1,6,201
5,,5600,0,8,success,5,7,201
5,,5600,0,15,success,5,8,201
6,,998.5275671,0,26,success,6,9,201
4,,2966.793965,0,81,success,4,10,201
25,,4665.392416,0,35,success,5,11,201
34,,3103.697908,0,0,earlyFail,4,12,201
1,,5600,554,0,gamble,1,13,201
32,,5305.928513,0,0,earlyFail,2,14,201
1,,5600,438,0,gamble,1,15,201
24,,5600,0,52,success,4,16,201
22,,5600,0,7,success,2,17,201
6,,5600,0,26,success,6,18,201
5,,3071.796857,0,24,success,5,19,201
21,,1156.362487,633,0,gamble,1,20,201
35,,2981.698701,0,106,success,5,21,201
4,,988.338555,0,31,success,4,22,201
23,,5600,0,14,success,3,23,201
6,,0,0,10,success,6,24,201
5,,0,0,68,success,5,25,201
5,,0,0,0,earlyFail,5,26,201
24,,5600,0,0,earlyFail,4,27,201
2,,2952.625025,680,0,gamble,2,28,201
4,,5600,432,0,gamble,4,29,201
36,,5600,559,0,gamble,6,30,201
2,,0,0,0,earlyFail,2,31,201
25,,5060.793351,0,24,success,5,32,201
23,,1051.339636,0,11,success,3,33,201
32,,4969.327905,0,99,success,2,34,201
26,,4982.300756,0,0,earlyFail,6,35,201
6,,0,0,43,success,6,36,201
36,,895.4025348,0,0,earlyFail,6,37,201
21,,5600,654,0,gamble,1,38,201
34,,5600,0,0,earlyFail,4,39,201
33,,934.4295863,680,0,gamble,3,40,201
33,,4990.688104,579,0,gamble,3,41,201
25,,5600,0,139,success,5,42,201
32,,1028.755653,0,46,success,2,43,201
4,,5600,753,0,gamble,4,44,201
3,,0,0,16,success,3,45,201
3,,5600,0,0,earlyFail,3,46,201
22,,5600,0,0,earlyFail,2,47,201
2,,0,0,0,earlyFail,2,48,201
31,,5600,587,0,gamble,1,49,201
3,,955.8761119,0,25,success,3,50,201
32,,4872.384275,436,0,gamble,2,51,201
23,,3081.58478,534,0,gamble,3,52,201
36,,5600,491,0,gamble,6,53,201
31,,2908.143616,851,0,gamble,1,54,201
26,,5600,447,0,gamble,6,55,201
22,,1075.851678,0,12,success,2,56,201
2,,5600,0,176,success,2,57,201
21,,2974.234256,0,75,success,1,58,201
21,,5600,0,90,success,1,59,201
24,,1038.373494,0,0,earlyFail,4,60,201
31,,4989.956671,703,0,gamble,1,61,201
1,,0,0,26,success,1,62,201
2,,4088.735557,0,0,earlyFail,2,63,201
3,,5600,418,0,gamble,3,64,201
25,,896.5141867,0,0,earlyFail,5,65,201
32,,2958.932188,0,0,earlyFail,2,66,201
