,BonusAmount,Trialid,action,design,difficulty,engagement,expTime,gambleDelay,gambleRT,indexOf,length,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
0,,,Begin,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,debugWSPDNF:debug0J0J69,
1,,,NextPage,,,,,,,0.0,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,debugWSPDNF:debug0J0J69,1040.0
2,,,NextPage,,,,,,,1.0,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,debugWSPDNF:debug0J0J69,1315.0
3,,,NextPage,,,,,,,2.0,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,debugWSPDNF:debug0J0J69,1526.0
4,,,FinishInstructions,,,,,,,3.0,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,debugWSPDNF:debug0J0J69,914.0
5,,3.0,,,,,,0.0,0.0,,,253.0,,success,3,,,,1.0,debugWSPDNF:debug0J0J69,
6,,22.0,,,,,,4262.650571528463,0.0,,,311.0,,success,2,,,,2.0,debugWSPDNF:debug0J0J69,
7,,6.0,,,,,,6729.1907195163285,0.0,,,171.0,,success,6,,,,3.0,debugWSPDNF:debug0J0J69,
8,,35.0,,,,,,1840.7114241973072,0.0,,,0.0,,earlyFail,5,,,,4.0,debugWSPDNF:debug0J0J69,
9,,3.0,,,,,,6692.346270561525,713.0,,,0.0,,gamble,3,,,,5.0,debugWSPDNF:debug0J0J69,
10,,,,,,,,,,,,,postquestionnaire,,,begin,,,,debugWSPDNF:debug0J0J69,
11,2.0,,,,,,,,,,,,postquestionnaire,,,submit,,,,debugWSPDNF:debug0J0J69,
12,,,,,,debugWSPDNF:debug0J0J69,,,,,,,,,,,,,,,
13,,,,,debugWSPDNF:debug0J0J69,,,,,,,,,,,,,,,,
14,,,,,,,,,,,debugWSPDNF:debug0J0J69,,,,,,,,,,
15,,,,debugWSPDNF:debug0J0J69,,,,,,,,,,,,,,,,,
16,,,Begin,,,,,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
17,,,NextPage,,,,,,,0.0,,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,24047.0
18,,,NextPage,,,,,,,1.0,,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,18220.0
19,,,NextPage,,,,,,,2.0,,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,21616.0
20,,,FinishInstructions,,,,,,,3.0,,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,22423.0
21,,5.0,,,,,,0.0,0.0,,,358.0,,success,5,,,,1.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
22,,2.0,,,,,,1667.5508853102892,825.0,,,0.0,,gamble,2,,,,2.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
23,,5.0,,,,,,1703.038601381954,0.0,,,0.0,,earlyFail,5,,,,3.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
24,,5.0,,,,,,4301.757727790707,672.0,,,0.0,,gamble,5,,,,4.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
25,,6.0,,,,,,1649.4133334171192,917.0,,,0.0,,gamble,6,,,,5.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
26,,33.0,,,,,,4219.851406116396,683.0,,,0.0,,gamble,3,,,,6.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
27,,36.0,,,,,,1654.225857934843,688.0,,,0.0,,gamble,6,,,,7.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
28,,21.0,,,,,,4340.249575777779,0.0,,,364.0,,success,1,,,,8.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
29,,3.0,,,,,,0.0,0.0,,,469.0,,success,3,,,,9.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
30,,4.0,,,,,,0.0,0.0,,,629.0,,success,4,,,,10.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
31,,23.0,,,,,,4213.481914343615,0.0,,,0.0,,fail,3,,,,11.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
32,,1.0,,,,,,0.0,0.0,,,365.0,,success,1,,,,12.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
33,,2.0,,,,,,6659.647612358839,761.0,,,0.0,,gamble,2,,,,13.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
34,,22.0,,,,,,6634.791632655584,0.0,,,340.0,,success,2,,,,14.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
35,,6.0,,,,,,4108.713704267936,562.0,,,0.0,,gamble,6,,,,15.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
36,,3.0,,,,,,4471.651130463684,526.0,,,0.0,,gamble,3,,,,16.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
37,,75.0,,,,,,1896.460291460667,646.0,,,0.0,,gamble,5,,,,17.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
38,,32.0,,,,,,4344.0801697450715,861.0,,,0.0,,gamble,2,,,,18.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
39,,6.0,,,,,,0.0,0.0,,,433.0,,success,6,,,,19.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
40,,21.0,,,,,,1883.7231602774837,0.0,,,476.0,,success,1,,,,20.0,A1CSDIX05PK9V:3GM6G9ZBKNXPMVJRKRWOCP2Q6CUMT2,
